product_id,product_name,category,subcategory,brand,unit_cost,unit_price,created_date
PROD700000,Harbor Supply Any,Home & Kitchen,Furniture,Aurora Home,394.32,654.81,2023-12-05
PROD700001,Summit Goods Policy,Electronics,Computers,Aurora Home,224.02,440.65,2025-06-24
PROD700002,Aurora Home In,Electronics,Mobile Accessories,Aurora Home,389.0,696.28,2023-06-03
PROD700003,Harbor Supply Born,Toys & Games,Outdoor Play,Bluepoint,152.45,353.56,2022-10-17
PROD700004,Vertex Whom,Toys & Games,Outdoor Play,Northline,343.44,678.25,2024-02-27
PROD700005,Vertex Sound,Grocery,Fresh,Bluepoint,224.24,360.13,2023-03-24
PROD700006,Crestwood Land,Beauty,Makeup,Cedar & Co,259.74,504.61,2026-02-16
PROD700007,Aurora Home Opportunity,Sporting Goods,Fitness,Cedar & Co,23.46,35.8,2023-10-21
PROD700008,Fieldstone Father,Sporting Goods,Team Sports,Northline,193.32,300.45,2026-05-14
PROD700009,Cedar & Co Attorney,Sporting Goods,Cycling,Bluepoint,384.94,821.75,2024-11-20
PROD700010,Bluepoint Management,Sporting Goods,Team Sports,Marlowe,160.46,281.9,2025-12-06
PROD700011,Fieldstone Step,Beauty,Fragrance,Crestwood,125.44,177.92,2024-07-19
PROD700012,Fieldstone Store,Books,Non-Fiction,Fieldstone,305.37,511.65,2024-05-23
PROD700013,Bluepoint These,Electronics,Computers,Northline,226.32,365.04,2025-06-02
PROD700014,Bluepoint Will,Grocery,Pantry,Bluepoint,120.19,211.03,2024-11-07
PROD700015,Fieldstone Popular,Sporting Goods,Team Sports,Crestwood,201.22,494.96,2024-04-27
PROD700016,Fieldstone Begin,Books,Non-Fiction,Vertex,185.95,402.47,2025-06-28
PROD700017,Harbor Supply Manager,Books,Fiction,Harbor Supply,76.07,101.98,2024-05-17
PROD700018,Northline Property,Apparel,Men's,Aurora Home,378.24,554.12,2024-10-28
PROD700019,Vertex Left,Sporting Goods,Fitness,Bluepoint,29.98,57.17,2025-07-17
PROD700020,Summit Goods Culture,Beauty,Fragrance,Crestwood,27.0,35.61,2024-12-13
PROD700021,Harbor Supply Key,Grocery,Pantry,Harbor Supply,7.7,19.04,2023-02-02
PROD700022,Aurora Home Shake,Electronics,Computers,Cedar & Co,202.38,486.05,2026-04-02
PROD700023,Summit Goods Again,Home & Kitchen,Decor,Fieldstone,98.66,159.91,2023-11-03
PROD700024,Aurora Home Conference,Grocery,Fresh,Summit Goods,34.37,54.71,2025-10-28
PROD700025,Cedar & Co Peace,Sporting Goods,Fitness,Cedar & Co,122.09,218.09,2024-08-25
PROD700026,Northline Hit,Grocery,Snacks,Vertex,222.42,311.22,2025-12-06
PROD700027,Fieldstone Security,Grocery,Snacks,Harbor Supply,259.03,622.44,2024-11-17
PROD700028,Summit Goods Production,Sporting Goods,Cycling,Marlowe,86.93,117.87,2022-12-06
PROD700029,Marlowe Article,Apparel,Men's,Vertex,274.72,663.32,2022-12-15
PROD700030,Bluepoint Risk,Beauty,Haircare,Aurora Home,9.22,22.26,2026-05-06
PROD700031,Bluepoint For,Toys & Games,Outdoor Play,Harbor Supply,67.49,114.6,2022-10-29
PROD700032,Cedar & Co Anyone,Home & Kitchen,Decor,Northline,316.83,449.02,2025-08-18
PROD700033,Fieldstone Air,Sporting Goods,Cycling,Fieldstone,335.95,448.68,2024-10-18
PROD700034,Crestwood Short,Toys & Games,Outdoor Play,Bluepoint,314.07,542.39,2023-03-13
PROD700035,Summit Goods Guy,Grocery,Fresh,Cedar & Co,174.44,388.41,2025-01-28
PROD700036,Cedar & Co Prove,Toys & Games,Action Figures,Marlowe,319.83,474.97,2023-04-27
